NSIC_RC_222,NSIC_RC_192,NSIC_RC_11,NSIC_RC_120,NSIC_RC_396,NSIC_RC_350,NSIC_RC_410,NSIC_RC_100,NSIC_RC_102,NSIC_RC_242,NSIC_RC_56,NSIC_RC_12,NSIC_RC_42,NSIC_RC_442,NSIC_RC_510,Land_area,Max_rain,Max_Temp,Humidity,Seeds_qty,Tot_yield
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,165,10.13,32,81,13200,1287
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79,10.13,32,81,6320,671.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79,10.13,32,81,6320,339.7
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,10.13,32,81,5100,340
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,98,10.13,32,81,7840,480.2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,10.13,32,81,4380,430.7
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,132,10.13,32,81,6600,620.4
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122,10.13,32,81,8540,439.2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98,10.13,32,81,4900,715.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,10.13,32,81,5440,489.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,31.8,35.1,94,7040,668.8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,31.8,35.1,94,5760,508.8
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91,31.8,35.1,94,5460,400.4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89,31.8,35.1,94,7120,471.7
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,31.8,35.1,94,5040,495.6
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90,31.8,35.1,94,7200,657
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92,31.8,35.1,94,7360,754.4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,93,31.8,35.1,94,7440,465
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,31.8,35.1,94,5400,540
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91,31.8,35.1,94,7280,391.3
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87,31.8,35.1,94,5220,469.8
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,31.8,35.1,94,4600,524.4
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,31.8,35.1,94,5950,391
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87,31.8,35.1,94,4350,722.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,31.8,35.1,94,7520,488.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,94.2,34.6,93,7440,818.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,94.2,34.6,93,5400,360
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88,94.2,34.6,93,5280,387.2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92,94.2,34.6,93,7360,460
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90,94.2,34.6,93,5400,540
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,94.2,34.6,93,7280,709.8
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93,94.2,34.6,93,7440,790.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,93,94.2,34.6,93,7440,399.9
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,86,94.2,34.6,93,5160,344
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90,94.2,34.6,93,7200,441
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,94.2,34.6,93,5160,507.4
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91,94.2,34.6,93,4550,427.7
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92,94.2,34.6,93,6440,331.2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,94.2,34.6,93,4600,671.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,94.2,34.6,93,7280,655.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,28.1,37,91,10560,1108.8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,28.1,37,91,5820,388
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,154,28.1,37,91,9240,677.6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,132,28.1,37,91,10560,792
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,28.1,37,91,5940,693
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,98,28.1,37,91,7840,666.4
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,122,28.1,37,91,9760,793
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143,28.1,37,91,11440,643.5
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,167,28.1,37,91,10020,718.1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,97,28.1,37,91,7760,426.8
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,97,28.1,37,91,5820,669.3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,112,28.1,37,91,5600,638.4
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,132,28.1,37,91,9240,607.2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78,28.1,37,91,3900,592.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,28.1,37,91,6880,533.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,19.4,35.2,91,11360,1107.6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163,19.4,35.2,91,9780,863.9
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122,19.4,35.2,91,7320,536.8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,173,19.4,35.2,91,13840,916.9
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97,19.4,35.2,91,5820,572.3
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,97,19.4,35.2,91,7760,708.1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,125,19.4,35.2,91,10000,1025
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,148,19.4,35.2,91,11840,740
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,98,19.4,35.2,91,5880,588
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86,19.4,35.2,91,6880,369.8
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,113,19.4,35.2,91,6780,610.2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,19.4,35.2,91,5950,678.3
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,19.4,35.2,91,5950,391
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,19.4,35.2,91,4250,705.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,19.4,35.2,91,5840,379.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,4.4,34.3,84,6960,565.5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4.4,34.3,84,5520,368
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,4.4,34.3,84,5100,374
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,4.4,34.3,84,6960,435
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,4.4,34.3,84,5640,564
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82,4.4,34.3,84,6560,639.6
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,4.4,34.3,84,6560,697
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82,4.4,34.3,84,6560,352.6
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84,4.4,34.3,84,5040,336
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86,4.4,34.3,84,6880,421.4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94,4.4,34.3,84,5640,554.6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,4.4,34.3,84,4300,404.2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94,4.4,34.3,84,6580,338.4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91,4.4,34.3,84,4550,664.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,4.4,34.3,84,7040,633.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.6,35.8,84,6960,565.5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0.6,35.8,84,5520,368
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,0.6,35.8,84,5100,374
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,0.6,35.8,84,6960,435
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,0.6,35.8,84,5640,564
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82,0.6,35.8,84,6560,639.6
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,0.6,35.8,84,6560,697
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82,0.6,35.8,84,6560,352.6
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84,0.6,35.8,84,5040,336
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86,0.6,35.8,84,6880,421.4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94,0.6,35.8,84,5640,554.6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,0.6,35.8,84,4300,404.2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94,0.6,35.8,84,6580,338.4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91,0.6,35.8,84,4550,664.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,0.6,35.8,84,7040,633.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9.3,34.8,87,2800,273
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,142,9.3,34.8,87,8520,752.6
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,194,9.3,34.8,87,11640,853.6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86,9.3,34.8,87,6880,455.8
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,9.3,34.8,87,2700,265.5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79,9.3,34.8,87,6320,576.7
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,9.3,34.8,87,5120,524.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87,9.3,34.8,87,6960,435
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,9.3,34.8,87,600,60
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,9.3,34.8,87,1760,94.6
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,9.3,34.8,87,4380,394.2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,141,9.3,34.8,87,7050,803.7
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,9.3,34.8,87,3430,225.4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,129,9.3,34.8,87,6450,1070.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,9.3,34.8,87,2640,171.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4.1,35.5,79,4320,453.6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,4.1,35.5,79,5160,344
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,4.1,35.5,79,4740,347.6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142,4.1,35.5,79,11360,852
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,4.1,35.5,79,5640,658
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,135,4.1,35.5,79,10800,918
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,117,4.1,35.5,79,9360,760.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78,4.1,35.5,79,6240,351
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,108,4.1,35.5,79,6480,464.4
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,122,4.1,35.5,79,9760,536.8
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,95,4.1,35.5,79,5700,655.5
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101,4.1,35.5,79,5050,575.7
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,4.1,35.5,79,2240,147.2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,129,4.1,35.5,79,6450,980.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133,4.1,35.5,79,10640,824.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,7.2,36.1,84,6720,739.2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,7.2,36.1,84,4800,320
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112,7.2,36.1,84,6720,492.8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97,7.2,36.1,84,7760,485
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121,7.2,36.1,84,7260,726
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85,7.2,36.1,84,6800,663
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,7.2,36.1,84,5840,620.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,7.2,36.1,84,5120,275.2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,7.2,36.1,84,5580,372
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,134,7.2,36.1,84,10720,656.6
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,122,7.2,36.1,84,7320,719.8
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,7.2,36.1,84,3900,366.6
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,7.2,36.1,84,3920,201.6
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,119,7.2,36.1,84,5950,868.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,7.2,36.1,84,7840,705.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,46.6,35.3,85,5840,554.8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,46.6,35.3,85,3360,296.8
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81,46.6,35.3,85,4860,356.4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,46.6,35.3,85,4960,328.6
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,46.6,35.3,85,3120,306.8
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,46.6,35.3,85,7280,664.3
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,112,46.6,35.3,85,8960,918.4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,46.6,35.3,85,4560,285
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,83,46.6,35.3,85,4980,498
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46,46.6,35.3,85,3680,197.8
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,97,46.6,35.3,85,5820,523.8
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57,46.6,35.3,85,2850,324.9
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68,46.6,35.3,85,4760,312.8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68,46.6,35.3,85,3400,564.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,46.6,35.3,85,9520,618.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,58.4,36.1,93,6960,643.8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87,58.4,36.1,93,5220,348
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,58.4,36.1,93,3720,272.8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,58.4,36.1,93,7280,455
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92,58.4,36.1,93,5520,552
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73,58.4,36.1,93,5840,569.4
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,58.4,36.1,93,5840,620.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,81,58.4,36.1,93,6480,348.3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,58.4,36.1,93,4860,324
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81,58.4,36.1,93,6480,396.9
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,114,58.4,36.1,93,6840,672.6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91,58.4,36.1,93,4550,427.7
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91,58.4,36.1,93,6370,327.6
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,58.4,36.1,93,3150,459.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,58.4,36.1,93,4720,424.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,50.4,34.6,90,7520,752
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,50.4,34.6,90,4920,434.6
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,50.4,34.6,90,4920,360.8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,50.4,34.6,90,6560,434.6
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,50.4,34.6,90,5040,495.6
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86,50.4,34.6,90,6880,627.8
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,94,50.4,34.6,90,7520,770.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,50.4,34.6,90,6880,430
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94,50.4,34.6,90,5640,564
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91,50.4,34.6,90,7280,391.3
